causality_actor_process_image_path	os_actor_process_image_path	os_actor_process_image_name	action_local_port	action_remote_ip	dst_action_external_hostname	action_remote_port	count_endpoints
/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent	/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/XPCServices/SecurityAgentHelper-arm64.xpc/Contents/MacOS/SecurityAgentHelper-arm64	SecurityAgentHelper-arm64	53	192.168.3.1		53	3
/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	ControlCenter	53	181.213.132.2		53	42
/System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal	/usr/bin/curl	curl	50630	18.189.226.237	prod-global-magnitude.nu.com.mx	443	1
/usr/sbin/spindump	/usr/sbin/spindump	spindump	53	10.251.231.53		53	51
/System/Applications/TV.app/Contents/MacOS/TV	/System/Applications/TV.app/Contents/MacOS/TV	TV	53	192.168.4.1		53	1
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	53	172.31.255.254		53	1
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	Finder	53	192.168.1.1		53	33
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	53	190.248.0.7		53	1
/Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline	/Applications/Xcode-14.2.0.app/Contents/Developer/Platforms/iPhoneOS.platform/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/nsurlsessiond	nsurlsessiond	54067	17.57.172.4	gsp64-ssl.ls.apple.com	443	1
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	Finder	62443	192.168.15.1		53	1
/Applications/Install macOS Sonoma.app/Contents/Frameworks/OSInstallerSetup.framework/Versions/A/Resources/osinstallersetupd	/Applications/Install macOS Sonoma.app/Contents/Frameworks/OSInstallerSetup.framework/Versions/A/Resources/osinstallersetupd	osinstallersetupd	53	192.168.15.1		53	4
/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/XPCServices/SecurityAgentHelper-x86_64.xpc/Contents/MacOS/SecurityAgentHelper-x86_64	/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/XPCServices/SecurityAgentHelper-x86_64.xpc/Contents/MacOS/SecurityAgentHelper-x86_64	SecurityAgentHelper-x86_64	49681	50.17.228.34	mobile.launchdarkly.com	443	1
/System/Applications/Weather.app/Contents/MacOS/Weather	/System/Applications/Weather.app/Contents/MacOS/Weather	Weather	52771	2.17.166.148	weather-map2.apple.com	443	1
/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	ControlCenter	53	192.168.31.1		53	2
/System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight	/System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight	Spotlight	53	10.101.231.53		53	34
/Applications/Xcode-15.2.0.app/Contents/SharedFrameworks/XCSourceControl.framework/Versions/A/XPCServices/com.apple.dt.GitHubHostBuiltInExtension.xpc/Contents/MacOS/com.apple.dt.GitHubHostBuiltInExtension	/Applications/Xcode-15.2.0.app/Contents/SharedFrameworks/XCSourceControl.framework/Versions/A/XPCServices/com.apple.dt.GitHubHostBuiltInExtension.xpc/Contents/MacOS/com.apple.dt.GitHubHostBuiltInExtension	com.apple.dt.GitHubHostBuiltInExtension	65256	20.201.28.148	api.github.com	443	1
/System/Volumes/Preboot/Cryptexes/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	/System/Volumes/Preboot/Cryptexes/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	com.apple.WebKit.Networking	54868	3.163.49.39	config.extension.grammarly.com	443	1
/System/Library/Frameworks/CFNetwork.framework/Versions/A/Support/CFNetworkAgent	/System/Library/Frameworks/CFNetwork.framework/Versions/A/Support/CFNetworkAgent	CFNetworkAgent	63288	93.184.216.34	wpad.box	80	1
/Applications/Xcode-15.2.0.app/Contents/SharedFrameworks/XCSourceControl.framework/Versions/A/XPCServices/com.apple.dt.GitHubHostBuiltInExtension.xpc/Contents/MacOS/com.apple.dt.GitHubHostBuiltInExtension	/Applications/Xcode-15.2.0.app/Contents/SharedFrameworks/XCSourceControl.framework/Versions/A/XPCServices/com.apple.dt.GitHubHostBuiltInExtension.xpc/Contents/MacOS/com.apple.dt.GitHubHostBuiltInExtension	com.apple.dt.GitHubHostBuiltInExtension	57812	20.201.28.148	api.github.com	443	1
/Applications/Install macOS Sonoma.app/Contents/Frameworks/OSInstallerSetup.framework/Versions/A/Resources/osinstallersetupd	/Applications/Install macOS Sonoma.app/Contents/Frameworks/OSInstallerSetup.framework/Versions/A/Resources/osinstallersetupd	osinstallersetupd	61757	17.253.10.202	ocsp2-lb.apple.com.akadns.net	443	1
/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent	/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/XPCServices/SecurityAgentHelper-x86_64.xpc/Contents/MacOS/SecurityAgentHelper-x86_64	SecurityAgentHelper-x86_64	53	192.168.15.1		53	1
/System/Applications/TV.app/Contents/MacOS/TV	/System/Applications/TV.app/Contents/MacOS/TV	TV	53	192.168.21.1		53	1
/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent	/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/XPCServices/SecurityAgentHelper-arm64.xpc/Contents/MacOS/SecurityAgentHelper-arm64	SecurityAgentHelper-arm64	54486	192.168.15.1		53	1
/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	WeatherWidget	54330	192.168.0.1		53	1
/System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal	/usr/bin/curl	curl	49594	140.82.113.6	api.github.com	443	1
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	49548	187.85.0.6		53	1
